Element,Abundance_PPM
H,NA
He,0.008
Li,20
Be,2.6
B,950
C,480
N,25
O,474000
F,950
Ne,7.00E-05
Na,23000
Mg,23000
Al,82000
Si,277100
P,1000
S,260
Cl,130
Ar,1.2
K,21000
Ca,41000
Sc,16
Ti,5600
V,160
Cr,100
Mn,950
Fe,41000
Co,20
Ni,80
Cu,50
Zn,75
Ga,18
Ge,1.8
As,1.5
Se,0.05
Br,0.37
Kr,1.00E-05
Rb,90
Sr,370
Y,30
Zr,190
Nb,20
Mo,1.5
Tc,NA
Ru,0.001
Rh,0.0002
Pd,0.0006
Ag,0.07
Cd,0.11
In,0.049
Sn,2.2
Sb,0.2
Te,0.005
I,0.14
Xe,2.00E-06
Cs,3
Ba,500
La,32
Ce,68
Pr,9.5
Nd,38
Pm,NA
Sm,7.9
Eu,2.1
Gd,7.7
Tb,1.1
Dy,6
Ho,1.4
Er,3.8
Tm,0.48
Yb,3.3
Lu,0.51
Hf,5.3
Ta,2
W,160.6
Re,0.0004
Os,0.0001
Ir,3.00E-06
Pt,0.001
Au,0.0011
Hg,0.05
Tl,0.6
Pb,14
Bi,0.048
Po,NA
At,NA
Rn,NA
Fr,NA
Ra,NA
Ac,NA
Th,12
Pa,NA
U,NA
Np,NA
Pu,NA
Am,NA
Cm,NA
Cf,NA
Sg,NA
Hs,NA
Cn,NA
